description,start,end,transparent
"New Year’s Day","January 1,2023","Jan 2, 2023","Y"
"New Year’s Day (Observed)","January 2,2023","Jan 3, 2023","N"
"Martin Luther King Jr Day","Monday, January 16, 2023","Jan 17, 2023","N"
"Presidents’ Day", "Monday, February 20, 2023","2/21/2023","N"
"Memorial Day", "Monday, May 29, 2023","May 30, 2023","N"
"Juneteenth", "Friday, June 16, 2023","June 17, 2023","N"
"Independence Day", "July 4","Jul 5","N"
"Labor Day", "Monday, September 4, 2023","September 5, 2023","B"
"Indigenous Peoples’ Day", "Monday, October 9, 2023","October 10, 2023","N"
"Veterans’ Day", "November 11, 2023","Nov 12,2023","Y"
"Veterans’ Day (Observed)", "November 10, 2023","Nov 11,2023","N"
"Thanksgiving", "Thursday, November 23, 2023", "November 24, 2023","N"
"Christmas", "Monday, December 25, 2023","December 26, 2023","N"
